acct_key,account_no_raw,account_class_cd,account_class_nm,account_lob_cd,account_purpose_cd,managed_platform_cd,service_channel_cd,account_open_dt,is_managed,opened_in_scope,primary_eci_id
1723,0000001723,01,IRA,CWM,INV,,FA,2020-02-17 00:00:00,false,false,ECI3123
1730,0000001730,02,Joint,CWM,RET,MGP,FA,2021-04-04 00:00:00,true,false,ECI3130
1737,0000001737,01,Individual,CWM,INV,MGP,FA,2016-01-13 00:00:00,true,false,ECI3137
1744,0000001744,02,IRA,CWM,INV,MGP,FA,2017-05-15 00:00:00,true,false,ECI3144
1751,0000001751,02,Joint,CWM,INV,,FA,2015-02-25 00:00:00,false,false,ECI3151
1758,0000001758,02,Joint,CWM,RET,MGP,FA,2015-07-09 00:00:00,true,false,ECI3158
1765,0000001765,01,Individual,CWM,RET,MGP,FA,2015-10-24 00:00:00,true,false,ECI3005
1772,0000001772,02,Individual,CWM,INV,MGP,FA,2017-02-20 00:00:00,true,false,ECI3012
1779,0000001779,07,IRA,CWM,RET,MGP,FA,2024-10-17 00:00:00,true,false,ECI3019
1786,0000001786,01,Individual,CWM,RET,MGP,FA,2025-05-15 00:00:00,true,false,ECI3026
1793,0000001793,02,Joint,CWM,INV,,FA,2019-03-12 00:00:00,false,false,ECI3033
1800,0000001800,02,IRA,CWM,INV,MGP,FA,,true,false,ECI3040
1807,0000001807,02,Individual,CWM,RET,,FA,2023-03-09 00:00:00,false,false,ECI3047
1814,0000001814,01,Joint,CWM,INV,MGP,FA,2015-02-21 00:00:00,true,false,ECI3054
1821,0000001821,07,Individual,CWM,INV,MGP,FA,2021-09-01 00:00:00,true,false,ECI3061
1828,0000001828,01,Joint,CWM,INV,MGP,FA,2017-01-10 00:00:00,true,false,ECI3068
1835,0000001835,01,Individual,CWM,INV,,FA,2023-07-20 00:00:00,false,false,ECI3075
1842,0000001842,01,Joint,CWM,INV,MGP,FA,2020-07-26 00:00:00,true,false,ECI3082
1849,0000001849,02,Individual,CWM,INV,MGP,FA,2022-04-07 00:00:00,true,false,ECI3089
1856,0000001856,02,IRA,CWM,RET,MGP,FA,2019-02-25 00:00:00,true,false,ECI3096
1863,0000001863,02,IRA,CWM,RET,,FA,,false,false,ECI3103
1870,0000001870,01,IRA,CWM,INV,MGP,FA,2021-10-07 00:00:00,true,false,ECI3110
1877,0000001877,02,IRA,CWM,RET,,FA,2020-10-11 00:00:00,false,false,ECI3117
1884,0000001884,07,IRA,CWM,INV,MGP,FA,2023-03-07 00:00:00,true,false,ECI3124
1891,0000001891,07,Joint,CWM,RET,,FA,2019-05-07 00:00:00,false,false,ECI3131
1898,0000001898,07,IRA,CWM,RET,MGP,FA,2022-12-06 00:00:00,true,false,ECI3138
1905,0000001905,01,Individual,CWM,RET,MGP,FA,2025-05-08 00:00:00,true,false,ECI3145
1912,0000001912,01,Individual,CWM,INV,MGP,FA,2024-04-23 00:00:00,true,false,ECI3152
1919,0000001919,01,Joint,CWM,INV,,FA,2023-08-02 00:00:00,false,false,ECI3159
1926,0000001926,07,IRA,CWM,RET,,FA,2024-06-25 00:00:00,false,false,ECI3006
1933,0000001933,02,IRA,CWM,RET,MGP,FA,2022-08-09 00:00:00,true,false,ECI3013
1940,0000001940,01,Individual,CWM,INV,MGP,FA,2019-04-09 00:00:00,true,false,ECI3020
1947,0000001947,02,Individual,CWM,INV,,FA,2018-02-14 00:00:00,false,false,ECI3027
1954,0000001954,02,Joint,CWM,RET,MGP,FA,2015-10-13 00:00:00,true,false,ECI3034
1961,0000001961,02,IRA,CWM,INV,,FA,2022-01-13 00:00:00,false,false,ECI3041
1968,0000001968,01,IRA,CWM,RET,MGP,FA,2023-01-13 00:00:00,true,false,ECI3048
1975,0000001975,02,Joint,CWM,RET,MGP,FA,2019-07-11 00:00:00,true,false,ECI3055
1982,0000001982,07,Individual,CWM,INV,MGP,FA,2023-01-12 00:00:00,true,false,ECI3062
1989,0000001989,01,Joint,CWM,RET,MGP,FA,2017-04-05 00:00:00,true,false,ECI3069
1996,0000001996,02,IRA,CWM,RET,,FA,2016-03-10 00:00:00,false,false,ECI3076
2003,0000002003,02,IRA,CWM,INV,MGP,FA,2024-12-27 00:00:00,true,false,ECI3083
2010,0000002010,02,Joint,CWM,INV,,FA,2020-02-17 00:00:00,false,false,ECI3090
2017,0000002017,07,Joint,CWM,RET,,FA,2022-12-05 00:00:00,false,false,ECI3097
2024,0000002024,02,Joint,CWM,INV,,FA,2019-06-28 00:00:00,false,false,ECI3104
2031,0000002031,01,Joint,CWM,RET,MGP,FA,2020-01-16 00:00:00,true,false,ECI3111
2038,0000002038,01,IRA,CWM,RET,,FA,2019-09-01 00:00:00,false,false,ECI3118
2045,0000002045,01,Joint,CWM,INV,,FA,2022-11-23 00:00:00,false,false,ECI3125
2052,0000002052,07,IRA,CWM,RET,MGP,FA,2024-06-16 00:00:00,true,false,ECI3132
2059,0000002059,07,IRA,CWM,INV,MGP,FA,2019-04-04 00:00:00,true,false,ECI3139
2066,0000002066,01,Joint,CWM,INV,MGP,FA,2024-09-20 00:00:00,true,false,ECI3146
2073,0000002073,02,IRA,CWM,INV,,FA,,false,false,ECI3153
2080,0000002080,01,Joint,CWM,RET,MGP,FA,2019-08-16 00:00:00,true,false,ECI3000
2087,0000002087,07,Joint,CWM,INV,MGP,FA,2016-10-21 00:00:00,true,false,ECI3007
2094,0000002094,02,Joint,CWM,RET,MGP,FA,2024-10-26 00:00:00,true,false,ECI3014
2101,0000002101,01,Individual,CWM,INV,MGP,FA,2019-10-20 00:00:00,true,false,ECI3021
2108,0000002108,07,IRA,CWM,RET,MGP,FA,2017-09-03 00:00:00,true,false,ECI3028
2115,0000002115,02,IRA,CWM,INV,,FA,2019-12-28 00:00:00,false,false,ECI3035
2122,0000002122,02,IRA,CWM,RET,,FA,2017-05-27 00:00:00,false,false,ECI3042
2129,0000002129,07,Individual,CWM,RET,MGP,FA,2021-05-17 00:00:00,true,false,ECI3049
2136,0000002136,01,IRA,CWM,RET,MGP,FA,2018-11-27 00:00:00,true,false,ECI3056
2143,0000002143,07,Joint,CWM,RET,MGP,FA,2023-11-15 00:00:00,true,false,ECI3063
2150,0000002150,07,Joint,CWM,RET,,FA,2020-11-04 00:00:00,false,false,ECI3070
2157,0000002157,02,IRA,CWM,INV,,FA,2022-02-11 00:00:00,false,false,ECI3077
2164,0000002164,01,Individual,CWM,RET,MGP,FA,2020-10-25 00:00:00,true,false,ECI3084
2171,0000002171,01,IRA,CWM,INV,MGP,FA,2022-02-01 00:00:00,true,false,ECI3091
2178,0000002178,01,IRA,CWM,INV,,FA,2016-04-27 00:00:00,false,false,ECI3098
2185,0000002185,02,IRA,CWM,INV,,FA,2019-07-27 00:00:00,false,false,ECI3105
2192,0000002192,02,IRA,CWM,RET,MGP,FA,2017-02-09 00:00:00,true,false,ECI3112
2199,0000002199,07,Joint,CWM,RET,MGP,FA,2024-10-22 00:00:00,true,false,ECI3119
2206,0000002206,07,Joint,CWM,INV,,FA,2022-06-28 00:00:00,false,false,ECI3126
2213,0000002213,01,Joint,CWM,INV,MGP,FA,2021-07-22 00:00:00,true,false,ECI3133
2220,0000002220,07,Individual,CWM,RET,MGP,FA,2016-08-04 00:00:00,true,false,ECI3140
2227,0000002227,02,IRA,CWM,RET,MGP,FA,2019-06-20 00:00:00,true,false,ECI3147
2234,0000002234,07,Joint,CWM,INV,MGP,FA,2022-09-02 00:00:00,true,false,ECI3154
2241,0000002241,02,Individual,CWM,INV,MGP,FA,2025-12-28 00:00:00,true,false,ECI3001
2248,0000002248,07,Individual,CWM,INV,MGP,FA,2020-07-05 00:00:00,true,false,ECI3008
2255,0000002255,01,Joint,CWM,RET,,FA,2024-11-08 00:00:00,false,false,ECI3015
2262,0000002262,02,IRA,CWM,RET,,FA,2022-05-22 00:00:00,false,false,ECI3022
2269,0000002269,02,IRA,CWM,RET,MGP,FA,2019-04-13 00:00:00,true,false,ECI3029
2276,0000002276,07,Individual,CWM,RET,MGP,FA,,true,false,ECI3036
2283,0000002283,07,IRA,CWM,INV,MGP,FA,2020-04-21 00:00:00,true,false,ECI3043
2290,0000002290,01,Joint,CWM,RET,,FA,2019-08-02 00:00:00,false,false,ECI3050
2297,0000002297,01,Joint,CWM,RET,MGP,FA,2023-06-17 00:00:00,true,false,ECI3057
2304,0000002304,07,IRA,CWM,RET,MGP,FA,2016-08-03 00:00:00,true,false,ECI3064
2311,0000002311,07,Joint,CWM,RET,MGP,FA,2019-09-04 00:00:00,true,false,ECI3071
2318,0000002318,07,Individual,CWM,RET,MGP,FA,2015-10-18 00:00:00,true,false,ECI3078
2325,0000002325,01,IRA,CWM,INV,,FA,2015-01-10 00:00:00,false,false,ECI3085
2332,0000002332,02,IRA,CWM,INV,,FA,2023-07-19 00:00:00,false,false,ECI3092
2339,0000002339,01,Joint,CWM,INV,MGP,FA,2019-01-23 00:00:00,true,false,ECI3099
2346,0000002346,02,Individual,CWM,INV,MGP,FA,2020-01-13 00:00:00,true,false,ECI3106
2353,0000002353,01,IRA,CWM,INV,MGP,FA,2017-10-07 00:00:00,true,false,ECI3113
2360,0000002360,01,IRA,CWM,RET,MGP,FA,2024-01-09 00:00:00,true,false,ECI3120
2367,0000002367,02,Individual,CWM,INV,MGP,FA,2017-01-12 00:00:00,true,false,ECI3127
2374,0000002374,02,IRA,CWM,INV,,FA,2023-02-24 00:00:00,false,false,ECI3134
2381,0000002381,02,Joint,CWM,INV,MGP,FA,2015-12-26 00:00:00,true,false,ECI3141
2388,0000002388,01,Individual,CWM,RET,MGP,FA,2021-11-04 00:00:00,true,false,ECI3148
2395,0000002395,07,IRA,CWM,RET,,FA,2025-10-18 00:00:00,false,false,ECI3155
2402,0000002402,01,Joint,CWM,RET,MGP,FA,2016-11-21 00:00:00,true,false,ECI3002
2409,0000002409,07,Joint,CWM,RET,MGP,FA,2021-07-24 00:00:00,true,false,ECI3009
2416,0000002416,02,Individual,CWM,INV,MGP,FA,2016-02-03 00:00:00,true,false,ECI3016
2423,0000002423,02,IRA,CWM,RET,MGP,FA,2025-07-28 00:00:00,true,false,ECI3023
2430,0000002430,07,Joint,CWM,INV,MGP,FA,2017-11-16 00:00:00,true,false,ECI3030
2437,0000002437,07,IRA,CWM,RET,MGP,FA,2023-10-20 00:00:00,true,false,ECI3037
2444,0000002444,07,IRA,CWM,RET,MGP,FA,,true,false,ECI3044
2451,0000002451,02,Joint,CWM,INV,MGP,FA,2015-02-24 00:00:00,true,false,ECI3051
2458,0000002458,07,Individual,CWM,INV,MGP,FA,2024-10-03 00:00:00,true,false,ECI3058
2465,0000002465,01,Joint,CWM,RET,MGP,FA,2024-08-14 00:00:00,true,false,ECI3065
2472,0000002472,07,Individual,CWM,INV,MGP,FA,2022-09-22 00:00:00,true,false,ECI3072
2479,0000002479,07,Joint,CWM,INV,MGP,FA,2017-05-10 00:00:00,true,false,ECI3079
2486,0000002486,02,IRA,CWM,INV,,FA,2023-09-27 00:00:00,false,false,ECI3086
2493,0000002493,02,Joint,CWM,INV,,FA,2020-10-14 00:00:00,false,false,ECI3093
2500,0000002500,02,Individual,CWM,INV,,FA,2024-08-27 00:00:00,false,false,ECI3100
2507,0000002507,01,Individual,CWM,INV,MGP,FA,2021-05-24 00:00:00,true,false,ECI3107
2514,0000002514,01,IRA,CWM,INV,MGP,FA,2025-03-08 00:00:00,true,false,ECI3114
2521,0000002521,07,IRA,CWM,RET,MGP,FA,2022-08-25 00:00:00,true,false,ECI3121
2528,0000002528,02,IRA,CWM,INV,MGP,FA,2022-11-10 00:00:00,true,false,ECI3128
2535,0000002535,01,IRA,CWM,RET,,FA,2020-05-03 00:00:00,false,false,ECI3135
2542,0000002542,07,Joint,CWM,INV,MGP,FA,2015-08-26 00:00:00,true,false,ECI3142
2549,0000002549,01,IRA,CWM,RET,,FA,2020-12-03 00:00:00,false,false,ECI3149
2556,0000002556,07,IRA,CWM,INV,MGP,FA,2020-06-10 00:00:00,true,false,ECI3156
2563,0000002563,07,Individual,CWM,RET,MGP,FA,2025-07-10 00:00:00,true,false,ECI3003
2570,0000002570,07,IRA,CWM,INV,MGP,FA,2020-05-21 00:00:00,true,false,ECI3010
2577,0000002577,07,IRA,CWM,INV,,FA,2020-03-22 00:00:00,false,false,ECI3017
2584,0000002584,01,Individual,CWM,INV,MGP,FA,2019-03-07 00:00:00,true,false,ECI3024
2591,0000002591,07,Individual,CWM,RET,MGP,FA,2016-09-25 00:00:00,true,false,ECI3031
2598,0000002598,07,Joint,CWM,INV,,FA,2017-12-25 00:00:00,false,false,ECI3038
2605,0000002605,01,IRA,CWM,INV,MGP,FA,2022-10-10 00:00:00,true,false,ECI3045
2612,0000002612,02,Joint,CWM,RET,,FA,2018-06-22 00:00:00,false,false,ECI3052
2619,0000002619,02,IRA,CWM,INV,MGP,FA,2024-03-28 00:00:00,true,false,ECI3059
2626,0000002626,01,Joint,CWM,RET,MGP,FA,2019-08-17 00:00:00,true,false,ECI3066
2633,0000002633,01,Joint,CWM,INV,MGP,FA,2020-04-13 00:00:00,true,false,ECI3073
2640,0000002640,02,Joint,CWM,INV,MGP,FA,2019-08-23 00:00:00,true,false,ECI3080
2647,0000002647,02,Individual,CWM,RET,MGP,FA,2017-09-24 00:00:00,true,false,ECI3087
2654,0000002654,07,IRA,CWM,INV,MGP,FA,2024-08-03 00:00:00,true,false,ECI3094
2661,0000002661,07,IRA,CWM,INV,MGP,FA,2015-10-12 00:00:00,true,false,ECI3101
2668,0000002668,01,IRA,CWM,RET,MGP,FA,,true,false,ECI3108
2675,0000002675,07,IRA,CWM,RET,MGP,FA,2016-06-08 00:00:00,true,false,ECI3115
2682,0000002682,07,Joint,CWM,INV,MGP,FA,2025-03-27 00:00:00,true,false,ECI3122
2689,0000002689,01,Joint,CWM,RET,,FA,2022-01-10 00:00:00,false,false,ECI3129
2696,0000002696,01,IRA,CWM,RET,MGP,FA,2019-01-25 00:00:00,true,false,ECI3136
2703,0000002703,01,Joint,CWM,RET,MGP,FA,2021-12-15 00:00:00,true,false,ECI3143
2710,0000002710,01,IRA,CWM,RET,MGP,FA,2016-12-14 00:00:00,true,false,ECI3150
2717,0000002717,07,Joint,CWM,RET,,FA,2019-05-15 00:00:00,false,false,ECI3157
2724,0000002724,01,Individual,CWM,RET,MGP,FA,2020-10-14 00:00:00,true,false,ECI3004
2731,0000002731,02,Individual,CWM,INV,MGP,FA,2017-01-05 00:00:00,true,false,ECI3011
2738,0000002738,02,Joint,CWM,RET,,FA,,false,false,ECI3018
2745,0000002745,01,Individual,CWM,INV,,FA,2023-06-13 00:00:00,false,false,ECI3025
2752,0000002752,07,Joint,CWM,RET,MGP,FA,2016-05-25 00:00:00,true,false,ECI3032
2759,0000002759,07,Joint,CWM,RET,MGP,FA,2022-03-23 00:00:00,true,false,ECI3039
2766,0000002766,01,Joint,CWM,INV,MGP,FA,2019-03-23 00:00:00,true,false,ECI3046
2773,0000002773,02,IRA,CWM,INV,MGP,FA,2018-08-01 00:00:00,true,false,ECI3053
2780,0000002780,01,Individual,CWM,RET,MGP,FA,2022-09-14 00:00:00,true,false,ECI3060
2787,0000002787,01,Individual,CWM,RET,MGP,FA,2020-03-27 00:00:00,true,false,ECI3067
2794,0000002794,02,IRA,CWM,RET,MGP,FA,2019-03-06 00:00:00,true,false,ECI3074
2801,0000002801,01,IRA,CWM,INV,MGP,FA,2023-05-05 00:00:00,true,false,ECI3081
2808,0000002808,01,Individual,CWM,INV,MGP,FA,2024-06-27 00:00:00,true,false,ECI3088
2815,0000002815,07,Joint,CWM,RET,,FA,,false,false,ECI3095
2822,0000002822,02,Joint,CWM,RET,,FA,2021-05-15 00:00:00,false,false,ECI3102
2829,0000002829,02,Individual,CWM,RET,MGP,FA,2020-12-11 00:00:00,true,false,ECI3109
2836,0000002836,02,IRA,CWM,RET,MGP,FA,2019-08-08 00:00:00,true,false,ECI3116
2843,0000002843,02,IRA,CWM,RET,,FA,2020-10-24 00:00:00,false,false,ECI3123
2850,0000002850,07,Joint,CWM,INV,MGP,FA,2016-07-17 00:00:00,true,false,ECI3130
2857,0000002857,01,Joint,CWM,INV,MGP,FA,2025-11-16 00:00:00,true,false,ECI3137
2864,0000002864,02,IRA,CWM,RET,MGP,FA,2020-01-13 00:00:00,true,false,ECI3144
2871,0000002871,01,Individual,CWM,INV,,FA,2023-05-27 00:00:00,false,false,ECI3151
2878,0000002878,02,IRA,CWM,INV,MGP,FA,2023-06-25 00:00:00,true,false,ECI3158
2885,0000002885,01,Joint,CWM,RET,MGP,FA,2022-09-15 00:00:00,true,false,ECI3005
2892,0000002892,02,IRA,CWM,RET,,FA,2019-10-11 00:00:00,false,false,ECI3012
2899,0000002899,07,IRA,CWM,INV,,FA,2025-02-14 00:00:00,false,false,ECI3019
2906,0000002906,01,IRA,CWM,RET,MGP,FA,2024-10-08 00:00:00,true,false,ECI3026
2913,0000002913,02,Individual,CWM,RET,MGP,FA,2024-12-04 00:00:00,true,false,ECI3033
2920,0000002920,01,IRA,CWM,RET,,FA,2022-12-24 00:00:00,false,false,ECI3040
2927,0000002927,07,IRA,CWM,RET,,FA,2017-08-18 00:00:00,false,false,ECI3047
2934,0000002934,02,IRA,CWM,INV,,FA,2023-05-08 00:00:00,false,false,ECI3054
2941,0000002941,02,Joint,CWM,INV,MGP,FA,2019-05-04 00:00:00,true,false,ECI3061
2948,0000002948,01,Individual,CWM,RET,MGP,FA,2016-06-15 00:00:00,true,false,ECI3068
2955,0000002955,01,IRA,CWM,INV,MGP,FA,2024-04-08 00:00:00,true,false,ECI3075
2962,0000002962,07,Individual,CWM,RET,,FA,2022-02-22 00:00:00,false,false,ECI3082
2969,0000002969,01,IRA,CWM,INV,MGP,FA,2019-06-10 00:00:00,true,false,ECI3089
2976,0000002976,07,Joint,CWM,INV,MGP,FA,2017-01-27 00:00:00,true,false,ECI3096
2983,0000002983,02,Individual,CWM,RET,MGP,FA,2020-05-15 00:00:00,true,false,ECI3103
2990,0000002990,01,IRA,CWM,RET,MGP,FA,2017-12-15 00:00:00,true,false,ECI3110
2997,0000002997,01,IRA,CWM,RET,,FA,2026-04-05 00:00:00,false,true,ECI3117
3004,0000003004,07,Individual,CWM,INV,MGP,FA,2026-05-06 00:00:00,true,true,ECI3124
3011,0000003011,01,Joint,CWM,RET,MGP,FA,2026-04-07 00:00:00,true,true,ECI3131
3018,0000003018,02,Joint,CWM,INV,MGP,FA,2026-05-08 00:00:00,true,true,ECI3138
3025,0000003025,01,IRA,CWM,INV,,FA,2026-04-09 00:00:00,false,true,ECI3145
3032,0000003032,07,IRA,CWM,RET,MGP,FA,2026-05-10 00:00:00,true,true,ECI3152
3039,0000003039,02,IRA,CWM,INV,MGP,FA,2026-04-11 00:00:00,true,true,ECI3159
3046,0000003046,02,IRA,CWM,RET,,FA,2026-05-12 00:00:00,false,true,ECI3006
3053,0000003053,07,IRA,CWM,INV,MGP,FA,2019-06-15 00:00:00,true,false,ECI3013
3060,0000003060,01,IRA,CWM,RET,MGP,FA,2019-06-15 00:00:00,true,false,ECI3020
3067,0000003067,01,IRA,CWM,INV,MGP,FA,2019-06-15 00:00:00,true,false,ECI3027
3074,0000003074,02,Individual,CWM,INV,,FA,2019-06-15 00:00:00,false,false,ECI3034
3081,0000003081,01,Joint,CWM,INV,,FA,2019-06-15 00:00:00,false,false,ECI3041
3088,0000003088,02,IRA,CWM,RET,MGP,FA,2019-06-15 00:00:00,true,false,ECI3048
3095,0000003095,07,Individual,CWM,INV,MGP,FA,2020-02-10 00:00:00,true,false,ECI3055
3102,0000003102,07,Individual,CWM,INV,,FA,2020-02-10 00:00:00,false,false,ECI3062
3109,0000003109,01,IRA,CWM,RET,MGP,FA,2020-02-10 00:00:00,true,false,ECI3069
3116,0000003116,02,Joint,CWM,INV,MGP,FA,2020-02-10 00:00:00,true,false,ECI3076
3123,0000003123,01,IRA,CWM,RET,MGP,FA,2020-02-10 00:00:00,true,false,ECI3083
