from_id,to_id
V000002|202605|ELIS|OP,ELIS|OP
V000002|202605|FCCD|,FCCD|
V000002|202605|FCOT|,FCOT|
V000002|202605|FCXX|,FCXX|
V000002|202605|FIX|,FIX|
V000002|202605|FMXX|,FMXX|
V000002|202605|ITMF|,ITMF|
V000002|202605|LEND|SBL,LEND|SBL
V000002|202605|LIFE|,LIFE|
V000002|202605|MAP|,MAP|
V000002|202605|OIS1|,OIS1|
V000002|202605|OISC|,OISC|
V000002|202605|PRDP|,PRDP|
V000002|202605|STRT|,STRT|
V000002|202605|UMA|,UMA|
V000002|202605|VARI|,VARI|
V000002|202606|ADVA|,ADVA|
V000002|202606|ALTI|,ALTI|
V000002|202606|ATMF|,ATMF|
V000002|202606|DAF|,DAF|
V000002|202606|DCCR|,DCCR|
V000002|202606|ELIS|EQ,ELIS|EQ
V000002|202606|ELIS|OP,ELIS|OP
V000002|202606|FCCD|,FCCD|
V000002|202606|FCOT|,FCOT|
V000002|202606|FCXX|,FCXX|
V000002|202606|FIX|,FIX|
V000002|202606|FMXX|,FMXX|
V000002|202606|ITMF|,ITMF|
V000002|202606|LEND|SBL,LEND|SBL
V000002|202606|LIFE|,LIFE|
V000002|202606|MAP|,MAP|
V000002|202606|OIS1|,OIS1|
V000002|202606|OISC|,OISC|
V000002|202606|PRDP|,PRDP|
V000002|202606|STRT|,STRT|
V000002|202606|UMA|,UMA|
V000002|202606|VARI|,VARI|
V000003|202604|529T|,529T|
V000003|202604|ALTI|,ALTI|
V000003|202604|DAF|,DAF|
V000003|202604|DCCR|,DCCR|
V000003|202604|EDK|,EDK|
V000003|202604|ELIS|EQ,ELIS|EQ
V000003|202604|FCXX|,FCXX|
V000003|202604|FMXX|,FMXX|
V000003|202604|ITMF|,ITMF|
V000003|202604|JPMC|,JPMC|
V000003|202604|LEND|SBL,LEND|SBL
V000003|202604|LIFE|,LIFE|
V000003|202604|MAP|,MAP|
V000003|202604|MMKT|,MMKT|
V000003|202604|OIS1|,OIS1|
V000003|202604|PRDP|,PRDP|
V000003|202604|STRT|,STRT|
V000003|202604|UMA|,UMA|
V000003|202604|VARI|,VARI|
V000003|202605|529T|,529T|
V000003|202605|ALTI|,ALTI|
V000003|202605|DAF|,DAF|
V000003|202605|DCCR|,DCCR|
V000003|202605|EDK|,EDK|
V000003|202605|ELIS|EQ,ELIS|EQ
V000003|202605|FCXX|,FCXX|
V000003|202605|FMXX|,FMXX|
V000003|202605|ITMF|,ITMF|
V000003|202605|JPMC|,JPMC|
V000003|202605|LEND|SBL,LEND|SBL
V000003|202605|LIFE|,LIFE|
V000003|202605|MAP|,MAP|
V000003|202605|MMKT|,MMKT|
V000003|202605|OIS1|,OIS1|
V000003|202605|OISC|,OISC|
V000003|202605|PRDP|,PRDP|
V000003|202605|STRT|,STRT|
V000003|202605|UMA|,UMA|
V000003|202605|VARI|,VARI|
V000003|202606|529T|,529T|
V000003|202606|ALTI|,ALTI|
V000003|202606|DAF|,DAF|
V000003|202606|DCCR|,DCCR|
V000003|202606|EDK|,EDK|
V000003|202606|ELIS|EQ,ELIS|EQ
V000003|202606|FCXX|,FCXX|
V000003|202606|FMXX|,FMXX|
V000003|202606|ITMF|,ITMF|
V000003|202606|JPMC|,JPMC|
V000003|202606|LEND|SBL,LEND|SBL
V000003|202606|LIFE|,LIFE|
V000003|202606|MAP|,MAP|
V000003|202606|MMKT|,MMKT|
V000003|202606|OIS1|,OIS1|
V000003|202606|OISC|,OISC|
V000003|202606|PRDP|,PRDP|
V000003|202606|STRT|,STRT|
V000003|202606|UMA|,UMA|
V000003|202606|VARI|,VARI|
V000004|202604|ADVA|,ADVA|
V000004|202604|DAF|,DAF|
V000004|202604|DCCR|,DCCR|
V000004|202604|EDK|,EDK|
V000004|202604|ELIS|EQ,ELIS|EQ
V000004|202604|ELIS|OP,ELIS|OP
V000004|202604|FCCD|,FCCD|
V000004|202604|FCOT|,FCOT|
V000004|202604|FGXX|,FGXX|
V000004|202604|FIX|,FIX|
V000004|202604|FMXX|,FMXX|
V000004|202604|JPMC|,JPMC|
V000004|202604|LEND|MGN,LEND|MGN
V000004|202604|LEND|SBL,LEND|SBL
V000004|202604|LIFE|,LIFE|
V000004|202604|MAP|,MAP|
V000004|202604|MMKT|,MMKT|
V000004|202604|OISC|,OISC|
V000004|202604|UMA|,UMA|
V000004|202605|ADVA|,ADVA|
V000004|202605|DAF|,DAF|
V000004|202605|DCCR|,DCCR|
V000004|202605|EDK|,EDK|
V000004|202605|ELIS|EQ,ELIS|EQ
V000004|202605|ELIS|OP,ELIS|OP
V000004|202605|FCCD|,FCCD|
V000004|202605|FCOT|,FCOT|
V000004|202605|FGXX|,FGXX|
V000004|202605|FIX|,FIX|
V000004|202605|FMXX|,FMXX|
V000004|202605|JPMC|,JPMC|
V000004|202605|LEND|MGN,LEND|MGN
V000004|202605|LEND|SBL,LEND|SBL
V000004|202605|LIFE|,LIFE|
V000004|202605|MAP|,MAP|
V000004|202605|MMKT|,MMKT|
V000004|202605|OISC|,OISC|
V000004|202605|UMA|,UMA|
V000004|202606|ADVA|,ADVA|
V000004|202606|DAF|,DAF|
V000004|202606|DCCR|,DCCR|
V000004|202606|EDK|,EDK|
V000004|202606|ELIS|EQ,ELIS|EQ
V000004|202606|ELIS|OP,ELIS|OP
V000004|202606|FCCD|,FCCD|
V000004|202606|FCOT|,FCOT|
V000004|202606|FGXX|,FGXX|
V000004|202606|FIX|,FIX|
V000004|202606|FMXX|,FMXX|
V000004|202606|JPMC|,JPMC|
V000004|202606|LEND|MGN,LEND|MGN
V000004|202606|LEND|SBL,LEND|SBL
V000004|202606|LIFE|,LIFE|
V000004|202606|MAP|,MAP|
V000004|202606|MMKT|,MMKT|
V000004|202606|OISC|,OISC|
V000004|202606|UMA|,UMA|
V000005|202604|ADVA|,ADVA|
V000005|202604|DAF|,DAF|
V000005|202604|DCCR|,DCCR|
V000005|202604|EDK|,EDK|
V000005|202604|ELIS|EQ,ELIS|EQ
V000005|202604|FCCD|,FCCD|
V000005|202604|FCOT|,FCOT|
V000005|202604|ITMF|,ITMF|
V000005|202604|JPMC|,JPMC|
V000005|202604|LEND|MGN,LEND|MGN
V000005|202604|MAP|,MAP|
V000005|202604|OIS1|,OIS1|
V000005|202604|OISC|,OISC|
V000005|202604|PCS|,PCS|
V000005|202604|PRDP|,PRDP|
V000005|202604|STRT|,STRT|
V000005|202604|UMA|,UMA|
V000005|202604|VARI|,VARI|
V000005|202605|ADVA|,ADVA|
V000005|202605|DAF|,DAF|
V000005|202605|DCCR|,DCCR|
V000005|202605|EDK|,EDK|
V000005|202605|ELIS|EQ,ELIS|EQ
V000005|202605|FCCD|,FCCD|
V000005|202605|FCOT|,FCOT|
V000005|202605|ITMF|,ITMF|
V000005|202605|JPMC|,JPMC|
V000005|202605|LEND|MGN,LEND|MGN
V000005|202605|MAP|,MAP|
V000005|202605|OIS1|,OIS1|
V000005|202605|OISC|,OISC|
V000005|202605|PCS|,PCS|
V000005|202605|PRDP|,PRDP|
V000005|202605|STRT|,STRT|
V000005|202605|UMA|,UMA|
V000005|202605|VARI|,VARI|
V000005|202606|ADVA|,ADVA|
V000005|202606|DAF|,DAF|
V000005|202606|DCCR|,DCCR|
V000005|202606|EDK|,EDK|
V000005|202606|ELIS|EQ,ELIS|EQ
V000005|202606|FCCD|,FCCD|
V000005|202606|FCOT|,FCOT|
V000005|202606|ITMF|,ITMF|
V000005|202606|JPMC|,JPMC|
V000005|202606|LEND|MGN,LEND|MGN
V000005|202606|MAP|,MAP|
V000005|202606|OIS1|,OIS1|
V000005|202606|OISC|,OISC|
V000005|202606|PCS|,PCS|
V000005|202606|PRDP|,PRDP|
V000005|202606|STRT|,STRT|
V000005|202606|UMA|,UMA|
V000005|202606|VARI|,VARI|
V000006|202604|529T|,529T|
V000006|202604|ALTI|,ALTI|
V000006|202604|ATMF|,ATMF|
V000006|202604|DCCR|,DCCR|
V000006|202604|EDK|,EDK|
V000006|202604|ELIS|OP,ELIS|OP
V000006|202604|FCCD|,FCCD|
V000006|202604|FCOT|,FCOT|
V000006|202604|FGXX|,FGXX|
V000006|202604|FMXX|,FMXX|
V000006|202604|ITMF|,ITMF|
V000006|202604|JPMC|,JPMC|
V000006|202604|LEND|MGN,LEND|MGN
V000006|202604|LIFE|,LIFE|
V000006|202604|MAP|,MAP|
V000006|202604|MISC|,MISC|
V000006|202604|MMKT|,MMKT|
V000006|202604|MUFD|,MUFD|
V000006|202604|OIS1|,OIS1|
V000006|202604|OISC|,OISC|
V000006|202604|PCS|,PCS|
V000006|202604|UMA|,UMA|
V000006|202604|VARI|,VARI|
V000006|202605|529T|,529T|
V000006|202605|ALTI|,ALTI|
V000006|202605|ATMF|,ATMF|
V000006|202605|DCCR|,DCCR|
V000006|202605|EDK|,EDK|
V000006|202605|ELIS|OP,ELIS|OP
V000006|202605|FCCD|,FCCD|
V000006|202605|FCOT|,FCOT|
V000006|202605|FGXX|,FGXX|
V000006|202605|FMXX|,FMXX|
V000006|202605|ITMF|,ITMF|
V000006|202605|JPMC|,JPMC|
V000006|202605|LEND|MGN,LEND|MGN
V000006|202605|LIFE|,LIFE|
V000006|202605|MAP|,MAP|
V000006|202605|MISC|,MISC|
V000006|202605|MMKT|,MMKT|
V000006|202605|MUFD|,MUFD|
V000006|202605|OIS1|,OIS1|
V000006|202605|OISC|,OISC|
V000006|202605|PCS|,PCS|
V000006|202605|UMA|,UMA|
V000006|202605|VARI|,VARI|
V000006|202606|529T|,529T|
V000006|202606|ALTI|,ALTI|
V000006|202606|ATMF|,ATMF|
V000006|202606|DCCR|,DCCR|
V000006|202606|EDK|,EDK|
V000006|202606|ELIS|OP,ELIS|OP
V000006|202606|FCCD|,FCCD|
V000006|202606|FCOT|,FCOT|
V000006|202606|FGXX|,FGXX|
V000006|202606|FMXX|,FMXX|
V000006|202606|ITMF|,ITMF|
V000006|202606|JPMC|,JPMC|
V000006|202606|LEND|MGN,LEND|MGN
V000006|202606|LIFE|,LIFE|
V000006|202606|MAP|,MAP|
V000006|202606|MMKT|,MMKT|
V000006|202606|MUFD|,MUFD|
V000006|202606|OIS1|,OIS1|
V000006|202606|OISC|,OISC|
V000006|202606|PCS|,PCS|
V000006|202606|UMA|,UMA|
V000006|202606|VARI|,VARI|
V000007|202604|529T|,529T|
V000007|202604|ADVA|,ADVA|
V000007|202604|ALTI|,ALTI|
V000007|202604|EDK|,EDK|
V000007|202604|ELIS|EQ,ELIS|EQ
V000007|202604|FCCD|,FCCD|
V000007|202604|FCXX|,FCXX|
V000007|202604|FIX|,FIX|
V000007|202604|FMXX|,FMXX|
V000007|202604|LEND|SBL,LEND|SBL
V000007|202604|LIFE|,LIFE|
V000007|202604|MAP|,MAP|
V000007|202604|MUFD|,MUFD|
V000007|202604|OIS1|,OIS1|
V000007|202604|OISC|,OISC|
V000007|202604|VARI|,VARI|
V000007|202605|529T|,529T|
V000007|202605|ADVA|,ADVA|
V000007|202605|ALTI|,ALTI|
V000007|202605|EDK|,EDK|
V000007|202605|ELIS|EQ,ELIS|EQ
V000007|202605|FCCD|,FCCD|
V000007|202605|FCXX|,FCXX|
V000007|202605|FIX|,FIX|
V000007|202605|FMXX|,FMXX|
V000007|202605|LEND|SBL,LEND|SBL
V000007|202605|LIFE|,LIFE|
V000007|202605|MAP|,MAP|
V000007|202605|MUFD|,MUFD|
V000007|202605|OIS1|,OIS1|
V000007|202605|OISC|,OISC|
V000007|202605|VARI|,VARI|
V000007|202606|529T|,529T|
V000007|202606|ADVA|,ADVA|
V000007|202606|ALTI|,ALTI|
V000007|202606|EDK|,EDK|
V000007|202606|ELIS|EQ,ELIS|EQ
V000007|202606|FCCD|,FCCD|
V000007|202606|FCXX|,FCXX|
V000007|202606|FIX|,FIX|
V000007|202606|FMXX|,FMXX|
V000007|202606|LEND|SBL,LEND|SBL
V000007|202606|LIFE|,LIFE|
V000007|202606|MAP|,MAP|
V000007|202606|MUFD|,MUFD|
V000007|202606|OIS1|,OIS1|
V000007|202606|OISC|,OISC|
V000007|202606|VARI|,VARI|
V000008|202604|529T|,529T|
V000008|202604|ADVA|,ADVA|
V000008|202604|ALTI|,ALTI|
V000008|202604|ATMF|,ATMF|
V000008|202604|DCCR|,DCCR|
V000008|202604|EDK|,EDK|
V000008|202604|ELIS|EQ,ELIS|EQ
V000008|202604|ELIS|OP,ELIS|OP
V000008|202604|FCCD|,FCCD|
V000008|202604|FCXX|,FCXX|
V000008|202604|FGXX|,FGXX|
V000008|202604|FIX|,FIX|
V000008|202604|FMXX|,FMXX|
V000008|202604|ITMF|,ITMF|
V000008|202604|JPMC|,JPMC|
V000008|202604|LEND|MGN,LEND|MGN
V000008|202604|LEND|SBL,LEND|SBL
V000008|202604|MAP|,MAP|
V000008|202604|MMKT|,MMKT|
V000008|202604|PCS|,PCS|
V000008|202604|PRDP|,PRDP|
V000008|202604|STRT|,STRT|
V000008|202604|UMA|,UMA|
V000008|202604|VARI|,VARI|
V000008|202605|529T|,529T|
V000008|202605|ADVA|,ADVA|
V000008|202605|ALTI|,ALTI|
V000008|202605|ATMF|,ATMF|
V000008|202605|DCCR|,DCCR|
V000008|202605|EDK|,EDK|
V000008|202605|ELIS|EQ,ELIS|EQ
V000008|202605|ELIS|OP,ELIS|OP
V000008|202605|FCCD|,FCCD|
V000008|202605|FCXX|,FCXX|
V000008|202605|FGXX|,FGXX|
V000008|202605|FIX|,FIX|
V000008|202605|FMXX|,FMXX|
V000008|202605|ITMF|,ITMF|
V000008|202605|JPMC|,JPMC|
V000008|202605|LEND|MGN,LEND|MGN
V000008|202605|LEND|SBL,LEND|SBL
V000008|202605|MAP|,MAP|
V000008|202605|MMKT|,MMKT|
V000008|202605|PCS|,PCS|
V000008|202605|PRDP|,PRDP|
V000008|202605|STRT|,STRT|
V000008|202605|UMA|,UMA|
V000008|202605|VARI|,VARI|
V000008|202606|529T|,529T|
V000008|202606|ADVA|,ADVA|
V000008|202606|ALTI|,ALTI|
V000008|202606|ATMF|,ATMF|
V000008|202606|DCCR|,DCCR|
V000008|202606|EDK|,EDK|
V000008|202606|ELIS|EQ,ELIS|EQ
V000008|202606|ELIS|OP,ELIS|OP
V000008|202606|FCCD|,FCCD|
V000008|202606|FCXX|,FCXX|
V000008|202606|FGXX|,FGXX|
V000008|202606|FIX|,FIX|
V000008|202606|FMXX|,FMXX|
V000008|202606|ITMF|,ITMF|
V000008|202606|JPMC|,JPMC|
V000008|202606|LEND|MGN,LEND|MGN
V000008|202606|LEND|SBL,LEND|SBL
V000008|202606|MAP|,MAP|
V000008|202606|MMKT|,MMKT|
V000008|202606|PCS|,PCS|
V000008|202606|PRDP|,PRDP|
V000008|202606|STRT|,STRT|
V000008|202606|UMA|,UMA|
V000008|202606|VARI|,VARI|
V000009|202604|529T|,529T|
V000009|202604|ATMF|,ATMF|
V000009|202604|DCCR|,DCCR|
V000009|202604|EDK|,EDK|
V000009|202604|ELIS|EQ,ELIS|EQ
V000009|202604|FCCD|,FCCD|
V000009|202604|FCOT|,FCOT|
V000009|202604|FCXX|,FCXX|
V000009|202604|FGXX|,FGXX|
V000009|202604|FIX|,FIX|
V000009|202604|FMXX|,FMXX|
V000009|202604|ITMF|,ITMF|
V000009|202604|JPMC|,JPMC|
V000009|202604|LEND|MGN,LEND|MGN
V000009|202604|LIFE|,LIFE|
V000009|202604|MAP|,MAP|
V000009|202604|MUFD|,MUFD|
V000009|202604|OIS1|,OIS1|
V000009|202604|OISC|,OISC|
V000009|202604|PRDP|,PRDP|
V000009|202605|529T|,529T|
V000009|202605|ATMF|,ATMF|
V000009|202605|DCCR|,DCCR|
V000009|202605|EDK|,EDK|
V000009|202605|ELIS|EQ,ELIS|EQ
V000009|202605|FCCD|,FCCD|
V000009|202605|FCOT|,FCOT|
V000009|202605|FCXX|,FCXX|
V000009|202605|FGXX|,FGXX|
V000009|202605|FIX|,FIX|
V000009|202605|FMXX|,FMXX|
V000009|202605|ITMF|,ITMF|
V000009|202605|JPMC|,JPMC|
V000009|202605|LEND|MGN,LEND|MGN
V000009|202605|LIFE|,LIFE|
V000009|202605|MAP|,MAP|
V000009|202605|MUFD|,MUFD|
V000009|202605|OIS1|,OIS1|
V000009|202605|OISC|,OISC|
V000009|202605|PRDP|,PRDP|
V000009|202606|529T|,529T|
V000009|202606|ATMF|,ATMF|
V000009|202606|DCCR|,DCCR|
V000009|202606|EDK|,EDK|
V000009|202606|ELIS|EQ,ELIS|EQ
V000009|202606|FCCD|,FCCD|
V000009|202606|FCOT|,FCOT|
V000009|202606|FCXX|,FCXX|
V000009|202606|FGXX|,FGXX|
V000009|202606|FIX|,FIX|
V000009|202606|FMXX|,FMXX|
V000009|202606|ITMF|,ITMF|
V000009|202606|JPMC|,JPMC|
V000009|202606|LEND|MGN,LEND|MGN
V000009|202606|LIFE|,LIFE|
V000009|202606|MAP|,MAP|
V000009|202606|MUFD|,MUFD|
V000009|202606|OIS1|,OIS1|
V000009|202606|OISC|,OISC|
V000009|202606|PRDP|,PRDP|
V000010|202604|529T|,529T|
V000010|202604|ATMF|,ATMF|
V000010|202604|DAF|,DAF|
V000010|202604|DCCR|,DCCR|
V000010|202604|ELIS|EQ,ELIS|EQ
V000010|202604|FCOT|,FCOT|
V000010|202604|FCXX|,FCXX|
V000010|202604|FMXX|,FMXX|
V000010|202604|MAP|,MAP|
V000010|202604|MMKT|,MMKT|
V000010|202604|MUFD|,MUFD|
V000010|202604|PCS|,PCS|
V000010|202604|PRDP|,PRDP|
V000010|202604|STRT|,STRT|
V000010|202604|UMA|,UMA|
V000010|202605|529T|,529T|
V000010|202605|ATMF|,ATMF|
V000010|202605|DAF|,DAF|
V000010|202605|DCCR|,DCCR|
V000010|202605|ELIS|EQ,ELIS|EQ
V000010|202605|FCOT|,FCOT|
V000010|202605|FCXX|,FCXX|
V000010|202605|FMXX|,FMXX|
V000010|202605|MAP|,MAP|
V000010|202605|MMKT|,MMKT|
V000010|202605|MUFD|,MUFD|
V000010|202605|PCS|,PCS|
V000010|202605|PRDP|,PRDP|
V000010|202605|STRT|,STRT|
V000010|202605|UMA|,UMA|
V000010|202606|529T|,529T|
V000010|202606|ATMF|,ATMF|
V000010|202606|DAF|,DAF|
V000010|202606|DCCR|,DCCR|
V000010|202606|ELIS|EQ,ELIS|EQ
V000010|202606|FCOT|,FCOT|
V000010|202606|FCXX|,FCXX|
V000010|202606|FMXX|,FMXX|
V000010|202606|MAP|,MAP|
V000010|202606|MMKT|,MMKT|
V000010|202606|MUFD|,MUFD|
V000010|202606|PCS|,PCS|
V000010|202606|PRDP|,PRDP|
V000010|202606|STRT|,STRT|
V000010|202606|UMA|,UMA|
V000011|202604|529T|,529T|
V000011|202604|ADVA|,ADVA|
V000011|202604|ALTI|,ALTI|
V000011|202604|ATMF|,ATMF|
V000011|202604|ELIS|EQ,ELIS|EQ
V000011|202604|ELIS|OP,ELIS|OP
V000011|202604|FCCD|,FCCD|
V000011|202604|FCXX|,FCXX|
V000011|202604|FGXX|,FGXX|
V000011|202604|LEND|SBL,LEND|SBL
V000011|202604|LIFE|,LIFE|
V000011|202604|OIS1|,OIS1|
V000011|202604|STRT|,STRT|
V000011|202604|VARI|,VARI|
V000011|202605|529T|,529T|
V000011|202605|ADVA|,ADVA|
V000011|202605|ALTI|,ALTI|
V000011|202605|ATMF|,ATMF|
V000011|202605|ELIS|EQ,ELIS|EQ
V000011|202605|ELIS|OP,ELIS|OP
V000011|202605|FCCD|,FCCD|
V000011|202605|FCXX|,FCXX|
V000011|202605|FGXX|,FGXX|
V000011|202605|LEND|SBL,LEND|SBL
V000011|202605|LIFE|,LIFE|
V000011|202605|OIS1|,OIS1|
V000011|202605|OISC|,OISC|
V000011|202605|STRT|,STRT|
V000011|202605|VARI|,VARI|
V000011|202606|529T|,529T|
V000011|202606|ADVA|,ADVA|
V000011|202606|ALTI|,ALTI|
V000011|202606|ATMF|,ATMF|
V000011|202606|ELIS|EQ,ELIS|EQ
V000011|202606|ELIS|OP,ELIS|OP
V000011|202606|FCCD|,FCCD|
V000011|202606|FCXX|,FCXX|
V000011|202606|FGXX|,FGXX|
V000011|202606|LEND|SBL,LEND|SBL
V000011|202606|LIFE|,LIFE|
V000011|202606|OIS1|,OIS1|
V000011|202606|OISC|,OISC|
V000011|202606|STRT|,STRT|
V000011|202606|VARI|,VARI|
V000012|202604|529T|,529T|
V000012|202604|ALTI|,ALTI|
V000012|202604|DAF|,DAF|
V000012|202604|ELIS|OP,ELIS|OP
V000012|202604|FCCD|,FCCD|
V000012|202604|FCOT|,FCOT|
V000012|202604|FGXX|,FGXX|
V000012|202604|ITMF|,ITMF|
V000012|202604|JPMC|,JPMC|
V000012|202604|LEND|MGN,LEND|MGN
V000012|202604|LIFE|,LIFE|
V000012|202604|MAP|,MAP|
V000012|202604|OISC|,OISC|
V000012|202604|PCS|,PCS|
V000012|202605|529T|,529T|
V000012|202605|ADVA|,ADVA|
V000012|202605|ALTI|,ALTI|
V000012|202605|DAF|,DAF|
V000012|202605|ELIS|OP,ELIS|OP
V000012|202605|FCCD|,FCCD|
V000012|202605|FCOT|,FCOT|
V000012|202605|FGXX|,FGXX|
V000012|202605|ITMF|,ITMF|
V000012|202605|JPMC|,JPMC|
V000012|202605|LEND|MGN,LEND|MGN
V000012|202605|LIFE|,LIFE|
V000012|202605|MAP|,MAP|
V000012|202605|OISC|,OISC|
V000012|202605|PCS|,PCS|
V000012|202606|529T|,529T|
V000012|202606|ADVA|,ADVA|
V000012|202606|ALTI|,ALTI|
V000012|202606|DAF|,DAF|
V000012|202606|ELIS|OP,ELIS|OP
V000012|202606|FCCD|,FCCD|
V000012|202606|FCOT|,FCOT|
V000012|202606|FGXX|,FGXX|
V000012|202606|ITMF|,ITMF|
V000012|202606|JPMC|,JPMC|
V000012|202606|LEND|MGN,LEND|MGN
V000012|202606|LIFE|,LIFE|
V000012|202606|MAP|,MAP|
V000012|202606|OISC|,OISC|
V000012|202606|PCS|,PCS|
V000013|202604|529T|,529T|
V000013|202604|ADVA|,ADVA|
V000013|202604|ALTI|,ALTI|
V000013|202604|ATMF|,ATMF|
V000013|202604|DAF|,DAF|
V000013|202604|DCCR|,DCCR|
V000013|202604|ELIS|EQ,ELIS|EQ
V000013|202604|ELIS|OP,ELIS|OP
V000013|202604|FCCD|,FCCD|
V000013|202604|FCOT|,FCOT|
V000013|202604|FCXX|,FCXX|
V000013|202604|FGXX|,FGXX|
V000013|202604|FIX|,FIX|
V000013|202604|ITMF|,ITMF|
V000013|202604|LIFE|,LIFE|
V000013|202604|MAP|,MAP|
V000013|202604|MMKT|,MMKT|
V000013|202604|STRT|,STRT|
V000013|202604|VARI|,VARI|
V000014|202604|ADVA|,ADVA|
V000014|202604|DAF|,DAF|
V000014|202604|ELIS|EQ,ELIS|EQ
V000014|202604|FCCD|,FCCD|
V000014|202604|FCXX|,FCXX|
V000014|202604|FGXX|,FGXX|
V000014|202604|FIX|,FIX|
V000014|202604|FMXX|,FMXX|
V000014|202604|ITMF|,ITMF|
V000014|202604|LEND|SBL,LEND|SBL
V000014|202604|LIFE|,LIFE|
V000014|202604|MAP|,MAP|
V000014|202604|MMKT|,MMKT|
V000014|202604|MUFD|,MUFD|
V000014|202604|OIS1|,OIS1|
V000014|202604|OISC|,OISC|
V000014|202604|PCS|,PCS|
V000014|202604|PRDP|,PRDP|
V000014|202604|STRT|,STRT|
V000014|202604|VARI|,VARI|
V000014|202605|ADVA|,ADVA|
V000014|202605|DAF|,DAF|
V000014|202605|ELIS|EQ,ELIS|EQ
V000014|202605|FCCD|,FCCD|
V000014|202605|FCXX|,FCXX|
V000014|202605|FGXX|,FGXX|
V000014|202605|FIX|,FIX|
V000014|202605|FMXX|,FMXX|
V000014|202605|ITMF|,ITMF|
V000014|202605|LEND|SBL,LEND|SBL
V000014|202605|LIFE|,LIFE|
V000014|202605|MAP|,MAP|
V000014|202605|MMKT|,MMKT|
V000014|202605|MUFD|,MUFD|
V000014|202605|OIS1|,OIS1|
V000014|202605|OISC|,OISC|
V000014|202605|PCS|,PCS|
V000014|202605|PRDP|,PRDP|
V000014|202605|STRT|,STRT|
V000014|202605|VARI|,VARI|
V000014|202606|ADVA|,ADVA|
V000014|202606|DAF|,DAF|
V000014|202606|ELIS|EQ,ELIS|EQ
V000014|202606|FCCD|,FCCD|
V000014|202606|FCXX|,FCXX|
V000014|202606|FGXX|,FGXX|
V000014|202606|FIX|,FIX|
V000014|202606|FMXX|,FMXX|
V000014|202606|ITMF|,ITMF|
V000014|202606|LEND|SBL,LEND|SBL
V000014|202606|LIFE|,LIFE|
V000014|202606|MAP|,MAP|
V000014|202606|MMKT|,MMKT|
V000014|202606|MUFD|,MUFD|
V000014|202606|OIS1|,OIS1|
V000014|202606|OISC|,OISC|
V000014|202606|PCS|,PCS|
V000014|202606|PRDP|,PRDP|
V000014|202606|STRT|,STRT|
V000014|202606|VARI|,VARI|
V000015|202604|529T|,529T|
V000015|202604|ADVA|,ADVA|
V000015|202604|DCCR|,DCCR|
V000015|202604|EDK|,EDK|
V000015|202604|ELIS|EQ,ELIS|EQ
